Variable,Coef,OR,CI_lo,CI_hi,SE,z,p_value,Model,p_fdr,sig_fdr
year_centered,0.03412381889252912,1.0347127157793474,0.9950256594033194,1.0759827086645086,0.019954373828337958,1.7100921926233836,0.08724882629170136,gh_first_B,,
year_centered_sq,-0.0006063131049097413,0.9993938706657381,0.9982340422798064,1.0005550466333268,0.0005924519167496463,-1.0233963090813196,0.3061205038138244,gh_first_B,,
has_funding_int,-0.17869616318335502,0.8363599777491106,0.6949433781927001,1.0065539644389987,0.0945044611118366,-1.8908754262075094,0.05864097549066456,gh_first_B,,
is_oa_int,0.2535444595534932,1.2885846681107511,1.1542748322497713,1.4385226122047103,0.05615926715644286,4.514739461382116,6.339465412722711e-06,gh_first_B,,
country_count,-0.40996541311947393,0.663673204125183,0.6195023402094795,0.710993475383561,0.035139483276912645,-11.666802550532369,1.8837072070248257e-31,gh_first_B,,
"field_Biochemistry, Genetics and Molecular Biology",-0.05633284019344681,0.9452244748303239,0.832993890684789,1.0725760630534438,0.06448782181665318,-0.8735423000269418,0.3823675605924901,gh_first_B,,
field_Engineering,-0.030520540352142092,0.9699405089429867,0.7674722327571534,1.2258223173870406,0.11945532583732307,-0.2554975271149119,0.798338853324592,gh_first_B,,
field_Immunology and Microbiology,0.1714218912890873,1.1869914247412428,0.9837396145949213,1.4322373741037295,0.09582445283211412,1.788915941836068,0.07362835398523584,gh_first_B,,
field_Neuroscience,-0.4026223155728694,0.6685645580678048,0.4716368921774509,0.9477175677262878,0.17802222965210351,-2.2616406746488136,0.0237196128232576,gh_first_B,,
field_Other,1.0467961488775452,2.8485102800819524,0.3581256996735578,22.656879478710195,1.0579935646323146,0.9894163668579016,0.3224594700517801,gh_first_B,,
"field_Pharmacology, Toxicology and Pharmaceutics",-0.010800119310459717,0.9892579925848153,0.8192671843925681,1.1945204135309389,0.0961963757914752,-0.11227158218383534,0.9106080734517792,gh_first_B,,
log_author_count,-0.36380679972225666,0.6950254608844466,0.6300914167139194,0.7666512802172665,0.05004263495205811,-7.269936926198854,3.596553902407222e-13,gh_first_C,,
year_centered,0.03359937476447177,1.0341702090410017,0.9948128954447139,1.0750845974808199,0.019795907678486938,1.6972889200218717,0.0896420509749046,gh_first_C,,
year_centered_sq,-0.0005457858698138639,0.999454363044201,0.9982882853605687,1.0006218027964704,0.0005956099117478598,-0.9163478630035156,0.3594844715632358,gh_first_C,,
has_funding_int,-0.17372544403508472,0.840527637858083,0.6975926850634376,1.0127495960469286,0.09509920830008031,-1.8267811808370018,0.0677326765358891,gh_first_C,,
is_oa_int,0.2372768494504049,1.267792056728547,1.1370335141123789,1.413587795922383,0.05553783632858657,4.272345938119904,1.9342718756955763e-05,gh_first_C,,
country_count,-0.3640079089083892,0.6948856989338439,0.6356933845979377,0.7595896799967159,0.0454239911580721,-8.013560667570333,1.114342575088947e-15,gh_first_C,,
bloc_East Asian,-0.45158235794332663,0.6366199934950328,0.509595199525449,0.7953077589722779,0.11354910046363521,-3.976978735185565,6.97964038718516e-05,gh_first_C,,
bloc_Latin American,-0.007895145857791615,0.9921359389461183,0.38039686818367924,2.587649383257273,0.48910460991970856,-0.01614203934632242,0.987121075328559,gh_first_C,,
